,INSTNM,CITY,STABBR,WOMENONLY,HBCU,ADM_RATE,SAT_AVG,ACTCMMID,FEMALE,FIRST_GEN,FAMINC,AVGFACSAL,PFTFAC,PCTPELL,DEBT_MDN_SUPP,C150_4_POOLED,D150_4_WHITE,D150_4_BLACK,D150_4_HISP,D150_4_ASIAN,D150_4_AIAN,D150_4_NHPI,D150_4_2MOR,D150_4_NRA,D150_4_UNKN,RET_FT4_POOLED,TRANS_4_POOLED_SUPP,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COMPL_RPY_3YR_RT,FIRSTGEN_RPY_3YR_RT,NET_PRICE
1703,University of Wisconsin-Milwaukee,Milwaukee,WI,0,0,0.958591339,-0.086374752,-0.086332386,-0.185616831,-0.087506256,0.177862465,0.423012998,0.201241496,-0.217140794,-0.110081857,-0.367393719,2.359859517,0.351871628,0.436013913,0.88779884,0.457235354,0.513358896,2.800220174,0.55014202,0.005909899,-0.104773939,-0.694549497,0.469310058,-0.332583722,-0.16988413,0.407333724,-0.10740246,-0.102838189,0.352856724,-0.056894843,-0.634383909,0.56767849,0.288681971,0.71876774
1704,University of Wisconsin-Platteville,Platteville,WI,0,0,1.3813335,0.209108337,0.199523737,-1.779872676,-0.408055514,0.733948933,-0.297742131,0.639783206,-0.710154272,0.064863129,0.146306386,0.81853075,-0.119786706,-0.220722758,-0.241621587,-0.101775684,0.012448189,0.072727051,-0.256866677,-0.048160417,0.248166342,-0.694549497,1.354672021,-0.67311529,-0.530223769,-0.43888662,-0.208243097,-0.106518409,-0.431687288,-0.374048954,-0.63686788,1.326493423,1.284659695,0.402935567
1705,University of Wisconsin-River Falls,River Falls,WI,0,0,1.156829163,-0.086374752,-0.086332386,0.26633541,-0.62481197,0.696559344,0.067305115,0.010897252,-0.583782281,-0.080762553,0.282750495,0.644696678,-0.182674484,-0.255086886,-0.091864183,-0.171652064,0.012448189,0.225957002,-0.136673892,-0.05416823,0.158919214,-0.694549497,1.285819179,-0.652875672,-0.563249988,-0.23680415,-0.204209472,-0.128599725,-0.175275342,-0.372633088,-0.633141923,0.9560704,1.252252847,0.160884837
1706,University of Wisconsin-Stevens Point,Stevens Point,WI,0,0,1.171201406,-0.086374752,-0.086332386,-0.561410195,-0.263857412,0.418153434,-0.201506094,0.594786255,-0.363038072,0.151364784,0.581491283,0.858646305,-0.178481965,-0.182540394,-0.079384399,0.107853455,-0.059110483,0.501770913,0.189563666,-0.045156511,0.276975209,-0.694549497,1.205296365,-0.625046198,-0.493069273,-0.211543841,-0.071099831,-0.117559067,-0.25947031,-0.351395089,-0.64804575,0.99948482,1.286141689,-0.024996796
1707,University of Wyoming,Laramie,WY,0,0,1.448238766,0.445494809,0.48537986,-0.409531363,-0.609189176,0.391941304,0.978502022,1.044755762,-0.96018641,-0.857432859,0.235832872,0.748997121,-0.161711891,-0.060356827,-0.21666202,0.142791645,0.155565534,0.624354874,0.069370881,-0.005104425,0.238779333,1.156301692,0.801126294,-0.697402831,-0.304937776,-0.459410621,-0.034797202,-0.054995338,0.100271823,-0.010171247,0.169180719,1.201257031,1.122981112,-0.455309206
1708,University of Guam,Mangilao,GU,0,0,NA,NA,NA,0.00694654,0.858126169,-0.859673299,0.211050081,-0.19051767,0.629497313,-0.281143492,-1.042911749,-0.430400195,-0.209925854,-0.323815143,1.149874298,-0.171652064,18.18835098,-0.295024831,-0.325548268,-0.050163021,0.272952256,-0.694549497,-2.078634081,-0.712582545,-0.676482739,6.501383213,-0.248579352,17.56589478,-1.086111805,-0.457585082,-0.397164676,-0.421065272,0.227302578,-0.801367969
1709,American University of Puerto Rico,Bayamon,PR,0,0,NA,NA,NA,-1.07627731,0.29161407,-1.769354344,-1.713264599,-1.466859748,2.462162376,-2.410773469,-1.219570965,-0.43753185,-0.212022113,0.707108701,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,-0.982171928,-0.694549497,-2.164991883,-0.748507866,5.185671123,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,-0.659223619,-1.265812657,-0.583431614,-1.554249882
1710,American University of Puerto Rico,Manati,PR,0,0,NA,NA,NA,-1.07627731,0.29161407,-1.769354344,-1.747779634,-1.549354157,2.699720026,-2.410773469,-1.070200571,-0.43753185,-0.212022113,0.478014514,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,-0.92425459,-0.694549497,-2.164991883,-0.748507866,5.185671123,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,-0.659223619,-1.265812657,-0.583431614,-1.532455788
1711,Universidad Adventista de las Antillas,Mayaguez,PR,0,0,1.506718924,NA,NA,0.419394882,0.407347549,-1.523175924,-1.887464008,-0.510138867,2.565212498,-1.391393693,-0.807366128,-0.436640393,-0.212022113,0.325285055,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,-0.178800766,-0.192639561,-2.129203965,-0.690318965,4.891973676,-0.622023859,-0.248579352,-0.143320602,-1.086111805,-0.212640166,-0.649287735,-0.634673755,-0.630981524,-1.9621872
1712,Atlantic University College,Guaynabo,PR,0,0,NA,NA,NA,-2.81185438,-1.513886029,-1.470658599,-1.846045967,0.342303365,2.496331627,-2.507857257,-0.751830982,-0.43753185,-0.212022113,0.67656281,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,0.794919886,-0.694549497,-2.164991883,-0.748507866,5.185671123,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,-0.659223619,-0.643931816,-0.495964695,-2.299527695
